id;placed_date;status;code;invoice_id;customer
1;2022-01-09T09:01:57;COMPLETED;Electronics;57858;calculate
2;2022-01-09T07:45:47;CANCELLED;one-to-one Corporate;74608;Steel
3;2022-01-08T23:13:14;CANCELLED;cross-platform Health;12251;real-time
4;2022-01-09T01:59:59;CANCELLED;Hat;10576;Square revolutionize
5;2022-01-09T09:03:28;CANCELLED;implement Implementation;23738;Bike
6;2022-01-09T00:14:49;CANCELLED;Industrial Checking Right-sized;52549;models
7;2022-01-09T00:26:57;PENDING;Implemented;30578;Home
8;2022-01-09T04:25:58;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2022-01-09T09:13:44;COMPLETED;National Program;95175;neural hacking
10;2022-01-09T09:06:44;COMPLETED;hack Shirt Walks;57700;full-range back
