id;date;details;status;payment_method;payment_date;payment_amount
1;2022-01-08T03:22:10;RAM systemic;PAID;CASH_ON_DELIVERY;2022-01-08T07:48:05;5801
2;2022-01-07T21:36:21;Idaho calculating model;ISSUED;CREDIT_CARD;2022-01-07T23:51:18;75071
3;2022-01-07T20:22:19;program SQL;CANCELLED;CREDIT_CARD;2022-01-07T19:01:43;79944
4;2022-01-08T07:16:26;Soft Central;PAID;CASH_ON_DELIVERY;2022-01-08T04:32:07;8068
5;2022-01-08T11:23:18;Bhutanese;CANCELLED;PAYPAL;2022-01-08T13:12:51;87472
6;2022-01-07T23:59:46;Engineer Shirt Court;CANCELLED;PAYPAL;2022-01-08T15:44:13;62834
7;2022-01-08T11:32:08;program transmitting parse;PAID;CREDIT_CARD;2022-01-08T02:32:26;38509
8;2022-01-08T02:13:44;Dynamic iterate;PAID;CREDIT_CARD;2022-01-07T22:30:32;6085
9;2022-01-07T19:07:27;black Maine;PAID;CREDIT_CARD;2022-01-07T21:49:32;11254
10;2022-01-08T08:22:48;Lead Well;CANCELLED;PAYPAL;2022-01-07T21:39:56;85804
