id;placed_date;status;invoice_id;code
1;2022-01-08T10:45:53;COMPLETED;11446;lavender
2;2022-01-08T14:23:53;CANCELLED;64871;e-enable one-to-one
3;2022-01-07T21:26:13;COMPLETED;91159;background out-of-the-box withdrawal
4;2022-01-07T19:39:46;COMPLETED;47588;Concrete
5;2022-01-08T00:42:12;CANCELLED;63689;Car hybrid Generic
6;2022-01-07T23:56:20;CANCELLED;37922;harness Holy United
7;2022-01-08T09:03:45;COMPLETED;15762;Visionary
8;2022-01-07T21:50:30;CANCELLED;1365;Credit Soft Cotton
9;2022-01-08T13:25:03;CANCELLED;52097;Implemented
10;2022-01-08T11:40:42;COMPLETED;61775;solution protocol
